Cluster,Layer,Correlation,p_value
Cluster_31,4,-0.056101126449532676,0.34533468068576934
Cluster_31,5,-0.06422887712732042,0.27984879485372394
Cluster_31,6,-0.031174607453332434,0.600207316708259
Cluster_31,7,0.041882876204596,0.4812671411698529
Cluster_31,8,0.13346845889470055,0.02423422688125854
Cluster_31,9,0.14330843359753662,0.015469258374120073
Cluster_31,10,0.13152399861072953,0.02640003404230719
Cluster_31,11,0.12204067244838185,0.03950082183557524
Cluster_31,12,0.01779717687797747,0.7648224021691882
Cluster_32,0,0.07863136582242602,0.19196439214847633
Cluster_32,1,0.19183259576611192,0.0013359646435654466
Cluster_32,2,0.20073139416578492,0.0007794475379664525
Cluster_32,3,0.19218491162179344,0.0013083396325424327
Cluster_32,4,0.22921251760167755,0.00011861398901504622
Cluster_32,5,0.22009408640094671,0.00022258182391969477
Cluster_32,6,0.210748682485498,0.00041330280640236073
Cluster_32,7,0.21894623682626652,0.00024050233817216328
Cluster_32,8,0.1979382747137716,0.0009253741636260841
Cluster_32,9,0.13953796937336332,0.020165723421970795
Cluster_32,10,0.11665098936390049,0.052464127987471264
Cluster_32,11,0.05376599677721328,0.37269156441542317
Cluster_32,12,0.12677782967474002,0.03494639893347876
Cluster_33,0,-0.11756904657849629,0.08770361206011064
Cluster_33,1,-0.13331981516209843,0.052580447164023915
Cluster_33,2,-0.09505121581676414,0.16792306670954166
Cluster_33,3,-0.12450487598757169,0.0704282766889163
Cluster_33,4,-0.024734474989074207,0.7202947171912788
Cluster_33,5,0.013963599175307592,0.8398222228011298
Cluster_33,6,0.017786051010525283,0.7968251701659154
Cluster_33,7,-0.01376208606373104,0.8421033787239758
Cluster_33,8,0.009246932907468957,0.8935257579883147
Cluster_33,9,0.00970915360714767,0.8882373659180232
Cluster_33,10,0.029919659241328323,0.6648998412757795
Cluster_33,11,0.0849755602379366,0.21788271220217525
Cluster_33,12,-0.10892539354880963,0.11380727415569153
Cluster_34,0,-0.0624722806321842,0.47669969100903165
Cluster_34,1,-0.04852519918811602,0.5805817659919216
Cluster_34,2,-0.041335121286909145,0.6379344908848901
Cluster_34,3,-0.04014547124229727,0.6476467836403383
Cluster_34,4,0.006840487756518289,0.9379516448701971
Cluster_34,5,-0.005948250223059383,0.9460317818003382
Cluster_34,6,0.01107731159960971,0.899682843827506
Cluster_34,7,-0.02929774123024424,0.7387753817466396
Cluster_34,8,0.08039529775166576,0.35947242956826764
Cluster_34,9,0.14042566513438348,0.10827582073951662
Cluster_34,10,0.1692172833193323,0.05241866963711012
Cluster_34,11,0.23984492807313215,0.005606478767915627
Cluster_34,12,-0.12330618357135029,0.15895722312312305
Cluster_35,0,-0.1855476163386051,0.0003032160161560851
Cluster_35,1,-0.15985413585163274,0.0019013807188012024
Cluster_35,2,-0.14808920241210605,0.004052782605546554
Cluster_35,3,-0.10885629764478326,0.035098402561396624
Cluster_35,4,-0.11450176356809648,0.026608636176582795
Cluster_35,5,-0.07142996927978155,0.16746927033376416
Cluster_35,6,-0.11770212765957448,0.02263072190399887
Cluster_35,7,-0.1112306291955854,0.0312819612420112
Cluster_35,8,-0.01592786437592445,0.7585149154673356
Cluster_35,9,0.004593696666287405,0.9293520881023016
Cluster_35,10,0.07435316873364434,0.15071065329434705
Cluster_35,11,0.10222664694504494,0.04790763572433729
Cluster_35,12,-0.02909614290590511,0.5743325076250527
Cluster_36,0,-0.44307369779067896,0.0008920759693202182
Cluster_36,1,-0.41388485728108365,0.0020650720241781064
Cluster_36,2,-0.3730043541364296,0.005944889786963274
Cluster_36,3,-0.3221254636348976,0.01865929075846048
Cluster_36,4,-0.44847605224963716,0.0007573962672720665
Cluster_36,5,-0.39195291082083533,0.0037015165368986173
Cluster_36,6,-0.467908401870666,0.00041094516763337367
Cluster_36,7,-0.48895339461377196,0.0002031798599742194
Cluster_36,8,0.028543783260764392,0.8392225227166132
Cluster_36,9,0.2695532978551846,0.05095243967058977
Cluster_36,10,0.12699564586357037,0.3648444003460223
Cluster_36,11,0.3240606353813901,0.017922648100473716
Cluster_36,12,-0.20746653765521691,0.13605711217459257
Cluster_37,0,-0.10062851669562262,0.021107877558613267
Cluster_37,1,-0.12591829034170773,0.003855072485872025
Cluster_37,2,-0.10680338846710424,0.014351352505401694
Cluster_37,3,-0.09133834499172785,0.036419640696169625
Cluster_37,4,-0.13950118380734,0.0013532695993554746
Cluster_37,5,-0.0949457438912639,0.029614320004437002
Cluster_37,6,-0.10805212898731606,0.013243980947781798
Cluster_37,7,-0.08912920707713615,0.04121075929825352
