Cluster,Layer,Correlation,p_value
Cluster_28,2,-0.04767190872648781,0.7530597443847454
Cluster_28,3,0.0702436016034536,0.6427352961246388
Cluster_28,4,-0.05704594511255011,0.7064980116001529
Cluster_28,5,0.16287388220783225,0.27947247388240054
Cluster_28,6,0.04458834412580943,0.7685770791825829
Cluster_28,7,0.09663891458526055,0.5228898828250181
Cluster_28,8,0.08467468393462843,0.5758251504304328
Cluster_28,9,0.11440024668516804,0.4490273611250539
Cluster_28,10,0.12340425531914893,0.413891604678983
Cluster_28,11,0.22244835029293863,0.1373093004846055
Cluster_28,12,0.03607770582793709,0.8118544884081496
Cluster_29,0,0.1946480938416422,0.2857279583286563
Cluster_29,1,0.18841642228739003,0.3017325868362686
Cluster_29,2,0.2232404692082111,0.21938418554185724
Cluster_29,3,0.15909090909090906,0.3844607122447945
Cluster_29,4,0.2162756598240469,0.23447947802069363
Cluster_29,5,0.04032258064516129,0.8265622209634641
Cluster_29,6,0.08504398826979472,0.6435212500975562
Cluster_29,7,0.01759530791788856,0.9238531477996262
Cluster_29,8,-0.10850439882697946,0.5544381306444383
Cluster_29,9,-0.12060117302052785,0.5108679757604848
Cluster_29,10,-0.2470674486803519,0.17279967431494048
Cluster_29,11,-0.28042521994134895,0.1200435384566156
Cluster_29,12,-0.0377565982404692,0.8374479866660937
Cluster_30,0,0.008193434721856584,0.9310536283073593
Cluster_30,1,0.04487150928494765,0.635460283974413
Cluster_30,2,0.028719548004293154,0.7616429080368348
Cluster_30,3,0.011903363641886556,0.8999718220864443
Cluster_30,4,0.03602600190356615,0.7035469075464427
Cluster_30,5,0.06564873129341245,0.4877066582115327
Cluster_30,6,0.0777748526761305,0.41079043114006664
Cluster_30,7,0.1001802312630364,0.28891049467860175
Cluster_30,8,0.13559466191450154,0.15030581979292493
Cluster_30,9,0.08252971790769731,0.382687283515578
Cluster_30,10,0.05468095016301817,0.5633781196743308
Cluster_30,11,-0.003511472023652822,0.9704218692888724
Cluster_30,12,0.00983779186326725,0.917261575471537
Cluster_31,0,-0.5322470817346937,2.1144777099611907e-06
Cluster_31,1,-0.32317064102565257,0.006356647840312784
Cluster_31,2,-0.3425801314614743,0.0036958332204729237
Cluster_31,3,-0.2831265345178436,0.017550292781378426
Cluster_31,4,-0.2160421550403821,0.0724515034931354
